simplified,vietnamese,pinyin,english,hsk_level
爱,,ài,to love; to be fond of; to like; affection; to be inclined (to do sth); to tend to (happen),1
爱好,,ài hào,to like; to be fond of; to take pleasure in; to be keen on; interest; hobby,1
八,,bā,eight; 8,1
爸,,bà,father; dad; pa; papa,1
爸爸,,bà ba,(coll.) father; dad,1
吧,,bā,"bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc); (onom.) bang; abbr. for 贴吧",1
白,,Bái,surname Bai,1
白天,,bái tiān,daytime; during the day; day,1
百,,Bǎi,surname Bai,1
班,,Bān,surname Ban,1
半,,bàn,half; semi-; incomplete; (after a number) and a half,1
半年,,bàn nián,half a year,1
半天,,bàn tiān,half of the day; a long time; quite a while; midair,1
帮,,bāng,old variant of 帮,1
帮忙,,bāng máng,to help; to lend a hand; to do a favor; to do a good turn,1
包,,Bāo,surname Bao,1
包子,,bāo zi,bao (steamed stuffed bun),1
杯,,bēi,"cup; trophy cup; classifier for certain containers of liquids: glass, cup",1
杯子,,bēi zi,cup; glass,1
北,,běi,north; (classical) to be defeated,1
北边,,běi biān,north; north side; northern part; to the north of,1
北京,,Běi jīng,"Beijing, capital of the People's Republic of China",1
本,,běn,"root; stem; origin; source; this; the current; original; inherent; originally; classifier for books, periodicals, files etc",1
本子,,běn zi,"book; notebook; Japanese-style self-published comic (esp. an erotic one), aka ""dōjinshi""; edition",1
比,,Bǐ,Belgium; Belgian; abbr. for 比利时,1
别,,Bié,surname Bie,1
别的,,bié de,else; other,1
别人,,bié ren,other people; others; other person,1
病,,bìng,illness; disease; to fall ill; defect,1
病人,,bìng rén,sick person; patient; invalid,1
不,,bù,no; not so; (bound form) not; un-,1
不大,,bù dà,not very; not too; not often,1
不对,,bù duì,incorrect; wrong; amiss; abnormal; queer,1
不客气,,bù kè qi,you're welcome; don't mention it; impolite; rude; blunt,1
不用,,bù yòng,need not,1
菜,,cài,dish (type of food); vegetable; cuisine; (coll.) (one's) type; (of one's skills etc) weak; poor,1
茶,,chá,tea; tea plant,1
差,,chā,difference; discrepancy; (math.) difference (amount remaining after a subtraction); (literary) a little; somewhat; slightly,1
常,,Cháng,surname Chang,1
常常,,cháng cháng,frequently; often,1
唱,,chàng,to sing; to call loudly; to chant,1
唱歌,,chàng gē,to sing a song,1
车,,Chē,surname Che,1
车票,,chē piào,ticket (for a bus or train),1
车上,,chē shàng,Car,1
车站,,chē zhàn,rail station; bus stop,1
吃,,chī,"to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer (shock, injury, defeat etc)",1
吃饭,,chī fàn,to have a meal; to eat; to make a living,1
出,,chū,"to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; (used after a verb to indicate an outward direction or a positive result); classifier for dramas, plays, operas etc",1
出来,,chū lái,to come out; to appear; to arise,1
出去,,chū qù,to go out,1
穿,,chuān,to wear; to put on; to dress; to bore through; to pierce; to perforate; to penetrate; to pass through; to thread,1
床,,chuáng,bed; couch; classifier for beds,1
次,,cì,"next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time",1
从,,cóng,variant of 从,1
错,,Cuò,surname Cuo,1
打,,dá,dozen (loanword),1
打车,,dǎ chē,to take a taxi (in town); to hitch a lift,1
打电话,,dǎ diàn huà,to make a telephone call,1
打开,,dǎ kāi,to open; to show (a ticket); to turn on; to switch on,1
打球,,dǎ qiú,to play ball; to play with a ball,1
大,,dà,big; large; great; older (than another person); eldest (as in 姐); greatly; freely; fully; (dialect) father; (dialect) uncle (father's brother),1
大学,,Dà xué,"the Great Learning, one of the Four Books 四书 in Confucianism",1
大学生,,dà xué shēng,university student; college student,1
到,,dào,to reach; to arrive; to leave for; to go to; to (a place); until (a time); up to (a point); (verb complement indicating arriving at a place or reaching a point); considerate; thoughtful; thorough,1
地,,de,"-ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct",1
地点,,dì diǎn,place; site; location; venue,1
地方,,dì fāng,region; regional (away from the central administration); local,1
地上,,dì shang,on the ground; on the floor,1
地图,,dì tú,map,1
的,,de,of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); also pr. [dì] or [di] in poetry and songs,1
得到,,dé dào,to get; to obtain; to receive,1
等,,děng,class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once,1
弟,,dì,younger brother; junior male; I (modest word in letter),1
弟弟,,dì di,younger brother,1
第,,dì,"(prefix indicating ordinal number, as in 六 ""sixth""); (literary) grades in which successful candidates in the imperial examinations were placed; (old) residence of a high official; (literary) but; however; (literary) only; just",1
第二,,dì èr,second; number two; next; secondary,1
点,,diǎn,point; dot; drop; speck; o'clock; point (in space or time); to draw a dot; to check on a list; to choose; to order (food in a restaurant); to touch briefly; to hint; to light; to ignite; to pour a liquid drop by drop; (old) one fifth of a two-hour watch 更; dot stroke in Chinese characters; classifier for items,1
电,,diàn,lightning; electricity; electric (bound form); to get (or give) an electric shock; phone call or telegram etc; to send via telephone or telegram etc,1
电话,,diàn huà,telephone; phone call; phone number,1
电脑,,diàn nǎo,computer,1
电视,,diàn shì,television; TV,1
电视机,,diàn shì jī,television set,1
电影,,diàn yǐng,movie; film,1
电影院,,diàn yǐng yuàn,cinema; movie theater,1
东,,Dōng,surname Dong,1
东边,,dōng bian,east; east side; eastern part; to the east of,1
东西,,dōng xī,east and west,1
动,,dòng,"(of sth) to move; to set in movement; to displace; to touch; to make use of; to stir (emotions); to alter; abbr. for 动词, verb",1
动作,,dòng zuò,movement; motion; action; to act; to move,1
都,,Dū,surname Du,1
读,,dòu,comma; phrase marked by pause,1
读书,,dú shū,to read a book; to study; to attend school,1
对,,duì,right; correct; towards; at; for; concerning; regarding; to treat (sb a certain way); to face; (bound form) opposite; facing; matching; to match together; to adjust; to fit; to suit; to answer; to reply; to add; to pour in (a fluid); to check; to compare; classifier: couple; pair,1
对不起,,duì bu qǐ,I'm sorry; excuse me; I beg your pardon; to let (sb) down; to disappoint,1
