HSK_Level,Simplified,Pinyin,Frequency,POS,Meanings
3,文件,wén jiàn,1342,n,document | file
3,猪,zhū,1583,n,hog | pig | swine
4,一再,yī zài,10127,d,repeatedly
4,一律,yī lu:4,13897,d,same | uniformly | all
4,一致,yī zhì,1957,"a, an, ad, nz",unanimous | identical (views or opinions)
4,一般来说,yī bān lái shuō,9210,v,generally speaking
4,万一,wàn yī,2483,"c, d, t",just in case | if by any chance | contingency
4,丈夫,zhàng fu,1376,n,husband
4,上个月,shàng gè yuè,6260,t,last month
4,上楼,shàng lóu,11082,v,to go upstairs
4,上门,shàng mén,5566,"v, vn",to drop in | to visit | to lock a door
4,下个月,xià gè yuè,1000000,,next month
4,下楼,xià lóu,11084,,to go downstairs
4,下载,xià zǎi,4502,v,to download | also pr. [xià zài]
4,下降,xià jiàng,2377,"v, vn",to decline | to drop | to fall
4,不在乎,bù zài hu,4222,v,not to care
4,不然,bù rán,2285,"c, v, a",not so | no | or else
4,不管,bù guǎn,854,"c, v",not to be concerned | regardless of | no matter
4,不要紧,bù yào jǐn,10100,v,unimportant | not serious | it doesn't matter
4,专心,zhuān xīn,8032,"ad, a",to focus one's attention; to concentrate on (doing sth)
4,业余,yè yú,5236,b,in one's spare time | outside working hours | amateur (historian etc)
4,两边,liǎng bian,7213,f,either side | both sides
4,严,Yán,5871,"a, ad, nr",surname Yan
4,严格,yán gé,2279,"a, ad, v",strict | stringent | tight
4,严重,yán zhòng,785,"a, ad",grave | serious | severe
4,个体,gè tǐ,7735,n,individual
4,个别,gè bié,6477,"a, ad",individually; one by one | just one or two; exceptional; rare
4,中介,zhōng jiè,8051,n,to act as intermediary | to link | intermediate
4,中奖,zhòng jiǎng,8049,"v, vn",to win a prize (in a lottery etc)
4,临时,lín shí,3015,"b, d",as the time draws near | at the last moment | temporary
4,主席,zhǔ xí,2330,n,chairperson | premier | chairman
4,主题,zhǔ tí,2127,n,theme | subject
4,义务,yì wù,3344,"n, d",duty | obligation | volunteer (work etc)
4,之一,zhī yī,893,r,"one of (sth) | one out of a multitude | one (third, quarter, percent etc)"
4,之前,zhī qián,479,f,before | prior to | ago
4,之后,zhī hòu,303,"f, t",after; behind | (at the beginning of a sentence) afterwards; since then
